Code,Country,"Cost of animal source foods valeur 
(PPP dollar per person per day)"
4,Afghanistan,
710,Afrique du Sud,"1,1"
8,Albanie,"1,2"
12,Algérie,"1,3"
276,Allemagne,"0,7"
20,Andorre,
24,Angola,"1,1"
28,Antigua-et-Barbuda,"0,7"
682,Arabie saoudite,1
32,Argentine,
51,Arménie,1
533,Aruba,"0,8"
36,Australie,"0,5"
40,Autriche,"0,6"
31,Azerbaïdjan,1
44,Bahamas,
48,Bahreïn,"1,2"
50,Bangladesh,"1,4"
52,Barbade,
112,Bélarus,"0,9"
56,Belgique,"0,5"
84,Belize,"0,7"
204,Bénin,"1,2"
60,Bermudes,"0,6"
64,Bhoutan,"1,3"
68,Bolivie (État plurinational de),"1,2"
70,Bosnie-Herzégovine,1
72,Botswana,"1,2"
76,Brésil,"0,8"
96,Brunéi Darussalam,"1,2"
100,Bulgarie,1
854,Burkina Faso,"0,9"
108,Burundi,"1,6"
132,Cabo Verde,"0,9"
116,Cambodge,"1,1"
120,Cameroun,"1,4"
124,Canada,"0,9"
152,Chili,"0,8"
344,Chine - RAS de Hong-Kong,"1,2"
446,Chine - RAS de Macao,
156,"Chine, continentale","0,9"
158,"Chine, Taiwan Province de","1,3"
196,Chypre,"0,8"
170,Colombie,"0,9"
174,Comores,"1,4"
178,Congo,"1,1"
188,Costa Rica,1
384,Côte d'Ivoire,"1,4"
191,Croatie,1
192,Cuba,
531,Curaçao,"0,7"
208,Danemark,"0,6"
262,Djibouti,"1,3"
212,Dominique,"0,9"
818,Égypte,"1,6"
222,El Salvador,
784,Émirats arabes unis,1
218,Équateur,"0,8"
232,Érythrée,
724,Espagne,"0,7"
233,Estonie,"0,8"
748,Eswatini,"1,3"
840,États-Unis d'Amérique,"0,6"
231,Éthiopie,"1,3"
643,Fédération de Russie,"0,6"
242,Fidji,"1,1"
246,Finlande,"0,6"
250,France,"0,6"
266,Gabon,1
270,Gambie,"0,9"
268,Géorgie,
288,Ghana,"1,6"
300,Grèce,"0,9"
308,Grenade,1
304,Groenland,
320,Guatemala,"0,9"
324,Guinée,"1,1"
226,Guinée équatoriale,"1,1"
624,Guinée-Bissau,"1,1"
328,Guyana,
332,Haïti,
340,Honduras,"1,1"
348,Hongrie,"0,8"
136,Îles Caïmanes,"0,7"
184,Îles Cook,
584,Îles Marshall,
90,Îles Salomon,
796,Îles Turques-et-Caïques,
92,Îles Vierges britanniques,"0,7"
356,Inde,"0,9"
360,Indonésie,"1,3"
364,Iran (République islamique d'),
368,Iraq,"1,4"
372,Irlande,"0,5"
352,Islande,"0,7"
376,Israël,"0,7"
380,Italie,"0,8"
388,Jamaïque,1
392,Japon,1
400,Jordanie,"0,9"
398,Kazakhstan,"0,7"
404,Kenya,"1,2"
417,Kirghizistan,"0,9"
296,Kiribati,
414,Koweït,"0,5"
426,Lesotho,"1,3"
428,Lettonie,"0,9"
422,Liban,"1,8"
430,Libéria,1
434,Libye,
440,Lituanie,"0,8"
442,Luxembourg,"0,5"
807,Macédoine du Nord,"1,2"
450,Madagascar,"1,3"
458,Malaisie,"0,8"
454,Malawi,"1,2"
462,Maldives,"0,9"
466,Mali,"1,3"
470,Malte,"0,9"
504,Maroc,"0,8"
480,Maurice,1
478,Mauritanie,"1,1"
484,Mexique,"0,9"
583,Micronésie (États fédérés de),
496,Mongolie,"0,8"
499,Monténégro,"0,9"
508,Mozambique,"1,2"
104,Myanmar,
516,Namibie,1
520,Nauru,
524,Népal,"0,9"
558,Nicaragua,"1,2"
562,Niger,"1,5"
566,Nigéria,1
570,Nioué,
578,Norvège,"0,9"
540,Nouvelle-Calédonie,
554,Nouvelle-Zélande,"0,7"
512,Oman,"0,8"
800,Ouganda,"1,2"
860,Ouzbékistan,"1,4"
586,Pakistan,"1,1"
585,Palaos,
275,Palestine,"0,7"
591,Panama,"1,2"
598,Papouasie-Nouvelle-Guinée,
600,Paraguay,"0,8"
528,Pays-Bas (Royaume des),"0,6"
604,Pérou,1
608,Philippines,"0,8"
616,Pologne,"0,8"
258,Polynésie française,
630,Porto Rico,
620,Portugal,"0,7"
634,Qatar,"0,7"
760,République arabe syrienne,"1,9"
140,République centrafricaine,"1,3"
410,République de Corée,"1,4"
498,République de Moldova,"0,8"
180,République démocratique du Congo,"1,7"
418,République démocratique populaire lao,"1,2"
214,République dominicaine,"1,2"
408,République populaire démocratique de Corée,
834,République-Unie de Tanzanie,"0,9"
642,Roumanie,1
826,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,"0,5"
646,Rwanda,"1,4"
662,Sainte-Lucie,"0,9"
659,Saint-Kitts-et-Nevis,"0,7"
670,Saint-Vincent-et-les Grenadines,"0,8"
882,Samoa,
16,Samoa américaines,
678,Sao Tomé-et-Principe,"0,9"
686,Sénégal,"1,1"
688,Serbie,1
690,Seychelles,1
694,Sierra Leone,"1,2"
702,Singapour,"0,7"
534,Sint Maarten (partie néerlandaise),
703,Slovaquie,"0,6"
705,Slovénie,"0,7"
706,Somalie,"1,3"
729,Soudan,"0,7"
728,Soudan du Sud,"1,5"
144,Sri Lanka,1
752,Suède,"0,6"
756,Suisse,"0,6"
740,Suriname,"1,1"
762,Tadjikistan,1
148,Tchad,"0,9"
203,Tchéquie,"0,8"
764,Thaïlande,"0,9"
626,Timor-Leste,
768,Togo,"1,2"
772,Tokélaou,
776,Tonga,
780,Trinité-et-Tobago,"0,9"
788,Tunisie,"1,2"
795,Turkménistan,
792,Turquie,"1,1"
798,Tuvalu,
804,Ukraine,
858,Uruguay,"0,8"
548,Vanuatu,
862,Venezuela (République bolivarienne du),
704,Viet Nam,"1,2"
887,Yémen,
894,Zambie,1
716,Zimbabwe,
