Code zone (M49),Zone,Valeur (g/personne/jour)
004,Afghanistan,"4,4"
710,Afrique du Sud,"34,6"
008,Albanie,"25,1"
012,Algérie,"8,6"
276,Allemagne,"32,4"
024,Angola,"9,0"
028,Antigua-et-Barbuda,"38,7"
682,Arabie saoudite,"25,3"
032,Argentine,"53,7"
051,Arménie,"28,0"
036,Australie,"48,2"
040,Autriche,"33,4"
031,Azerbaïdjan,"18,2"
044,Bahamas,"48,9"
048,Bahreïn,"39,0"
050,Bangladesh,"2,2"
052,Barbade,"37,5"
112,Bélarus,"41,3"
056,Belgique,"31,3"
084,Belize,"23,9"
204,Bénin,"7,5"
064,Bhoutan,"6,3"
068,Bolivie (État plurinational de),"35,1"
070,Bosnie-Herzégovine,"20,7"
072,Botswana,"15,9"
076,Brésil,"44,4"
100,Bulgarie,"27,5"
854,Burkina Faso,"15,1"
108,Burundi,"1,7"
132,Cabo Verde,"17,6"
116,Cambodge,"5,8"
120,Cameroun,"6,9"
124,Canada,"37,2"
152,Chili,"41,7"
159,Chine,"28,7"
344,Chine - RAS de Hong-Kong,"72,7"
446,Chine - RAS de Macao,"47,8"
156,"Chine, continentale","27,9"
158,"Chine, Taiwan Province de","39,3"
196,Chypre,"30,3"
170,Colombie,"27,4"
174,Comores,"16,1"
178,Congo,"22,6"
188,Costa Rica,"26,7"
384,Côte d'Ivoire,"8,5"
191,Croatie,"36,9"
192,Cuba,"23,2"
208,Danemark,"28,9"
262,Djibouti,"7,4"
212,Dominique,"36,8"
818,Égypte,"13,9"
222,El Salvador,"19,2"
784,Émirats arabes unis,"39,1"
218,Équateur,"23,1"
724,Espagne,"42,1"
233,Estonie,"27,9"
748,Eswatini,"12,7"
840,États-Unis d'Amérique,"52,6"
231,Éthiopie,"3,8"
643,Fédération de Russie,"34,8"
242,Fidji,"20,8"
246,Finlande,"32,5"
250,France,"38,3"
266,Gabon,"33,5"
270,Gambie,"7,4"
268,Géorgie,"17,3"
288,Ghana,"11,2"
300,Grèce,"31,6"
308,Grenade,"35,7"
320,Guatemala,"18,9"
324,Guinée,"8,2"
624,Guinée-Bissau,"6,7"
328,Guyana,"32,4"
332,Haïti,"10,5"
340,Honduras,"17,4"
348,Hongrie,"32,7"
090,Îles Salomon,"7,7"
356,Inde,"3,0"
360,Indonésie,"8,6"
364,Iran (République islamique d'),"14,7"
368,Iraq,"8,5"
372,Irlande,"40,7"
352,Islande,"42,6"
376,Israël,"49,1"
380,Italie,"31,3"
388,Jamaïque,"29,5"
392,Japon,"25,4"
400,Jordanie,"16,6"
398,Kazakhstan,"33,9"
404,Kenya,"5,1"
417,Kirghizistan,"19,5"
296,Kiribati,"23,5"
414,Koweït,"38,1"
426,Lesotho,"10,9"
428,Lettonie,"31,2"
422,Liban,"16,3"
430,Libéria,"11,2"
434,Libye,"25,2"
440,Lituanie,"40,1"
442,Luxembourg,"36,7"
807,Macédoine du Nord,"19,3"
450,Madagascar,"2,5"
458,Malaisie,"28,7"
454,Malawi,"12,0"
462,Maldives,"12,5"
466,Mali,"3,8"
470,Malte,"28,1"
504,Maroc,"15,6"
480,Maurice,"24,8"
478,Mauritanie,"16,2"
484,Mexique,"34,9"
583,Micronésie (États fédérés de),"31,3"
496,Mongolie,"64,7"
499,Monténégro,"36,6"
508,Mozambique,"4,6"
104,Myanmar,"8,9"
516,Namibie,"18,4"
520,Nauru,"54,8"
524,Népal,"9,3"
558,Nicaragua,"14,4"
562,Niger,"4,1"
566,Nigéria,"3,3"
578,Norvège,"31,2"
540,Nouvelle-Calédonie,"39,0"
554,Nouvelle-Zélande,"37,9"
512,Oman,"22,5"
800,Ouganda,"4,8"
860,Ouzbékistan,"19,7"
586,Pakistan,"9,5"
591,Panama,"39,3"
598,Papouasie-Nouvelle-Guinée,"29,0"
600,Paraguay,"17,3"
528,Pays-Bas (Royaume des),"31,2"
604,Pérou,"25,3"
608,Philippines,"15,9"
616,Pologne,"41,4"
258,Polynésie française,"41,8"
620,Portugal,"40,9"
634,Qatar,"37,4"
760,République arabe syrienne,"8,8"
140,République centrafricaine,"17,6"
410,République de Corée,"34,6"
498,République de Moldova,"26,5"
180,République démocratique du Congo,"2,3"
418,République démocratique populaire lao,"13,9"
214,République dominicaine,"24,4"
408,République populaire démocratique de Corée,"6,0"
834,République-Unie de Tanzanie,"5,8"
642,Roumanie,"28,8"
826,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,"36,2"
646,Rwanda,"3,7"
662,Sainte-Lucie,"48,1"
659,Saint-Kitts-et-Nevis,"43,3"
670,Saint-Vincent-et-les Grenadines,"48,9"
882,Samoa,"47,4"
678,Sao Tomé-et-Principe,"12,3"
686,Sénégal,"9,8"
688,Serbie,"33,1"
690,Seychelles,"32,2"
694,Sierra Leone,"5,6"
703,Slovaquie,"25,7"
705,Slovénie,"27,5"
729,Soudan,"10,2"
728,Soudan du Sud,"9,9"
144,Sri Lanka,"5,5"
752,Suède,"32,3"
756,Suisse,"29,2"
740,Suriname,"26,8"
762,Tadjikistan,"16,3"
148,Tchad,"23,8"
203,Tchéquie,"33,7"
764,Thaïlande,"11,7"
626,Timor-Leste,"13,1"
768,Togo,"4,4"
780,Trinité-et-Tobago,"26,6"
788,Tunisie,"13,6"
795,Turkménistan,"28,1"
792,Turquie,"19,6"
804,Ukraine,"22,0"
858,Uruguay,"27,3"
548,Vanuatu,"19,3"
862,Venezuela (République bolivarienne du),"16,2"
704,Viet Nam,"24,3"
887,Yémen,"8,6"
894,Zambie,"8,7"
716,Zimbabwe,"26,9"
