code,iso,country,EPI.2018
4,AFG,Afghanistan,"37,74"
8,ALB,Albania,"65,46"
12,DZA,Algeria,"57,18"
24,AGO,Angola,"37,44"
28,ATG,Antigua and Barbuda,"59,18"
32,ARG,Argentina,"59,3"
51,ARM,Armenia,"62,07"
36,AUS,Australia,"74,12"
40,AUT,Austria,"78,97"
31,AZE,Azerbaijan,"62,33"
44,BHS,Bahamas,"54,99"
48,BHR,Bahrain,"55,15"
50,BGD,Bangladesh,"29,56"
52,BRB,Barbados,"55,76"
112,BLR,Belarus,"64,98"
56,BEL,Belgium,"77,38"
84,BLZ,Belize,"57,79"
204,BEN,Benin,"38,17"
64,BTN,Bhutan,"47,22"
68,BOL,Bolivia,"55,98"
70,BIH,Bosnia and Herzegovina,"41,84"
72,BWA,Botswana,"51,7"
76,BRA,Brazil,"60,7"
96,BRN,Brunei Darussalam,"63,57"
100,BGR,Bulgaria,"67,85"
854,BFA,Burkina Faso,"42,83"
108,BDI,Burundi,"27,43"
116,KHM,Cambodia,"43,23"
120,CMR,Cameroon,"40,81"
124,CAN,Canada,"72,18"
132,CPV,Cabo Verde,"56,94"
140,CAF,Central African Republic,"36,42"
148,TCD,Chad,"45,34"
152,CHL,Chile,"57,49"
156,CHN,China,"50,74"
170,COL,Colombia,"65,22"
174,COM,Comoros,"44,24"
188,CRI,Costa Rica,"67,85"
384,CIV,CÃƒÂ´te d'Ivoire,"45,25"
191,HRV,Croatia,"65,45"
192,CUB,Cuba,"63,42"
196,CYP,Cyprus,"72,6"
203,CZE,Czech Republic,"67,68"
180,COD,Dem. Rep. Congo,"30,41"
208,DNK,Denmark,"81,6"
262,DJI,Djibouti,"40,04"
212,DMA,Dominica,"59,38"
214,DOM,Dominican Republic,"64,71"
218,ECU,Ecuador,"57,42"
818,EGY,Egypt,"61,21"
222,SLV,El Salvador,"53,91"
226,GNQ,Equatorial Guinea,"60,4"
232,ERI,Eritrea,"39,34"
233,EST,Estonia,"64,31"
231,ETH,Ethiopia,"44,78"
242,FJI,Fiji,"53,09"
246,FIN,Finland,"78,64"
250,FRA,France,"83,95"
266,GAB,Gabon,"45,05"
270,GMB,Gambia,"42,42"
268,GEO,Georgia,"55,69"
276,DEU,Germany,"78,37"
288,GHA,Ghana,"49,66"
300,GRC,Greece,"73,6"
308,GRD,Grenada,"50,93"
320,GTM,Guatemala,"52,33"
324,GIN,Guinea,"46,62"
624,GNB,Guinea-Bissau,"44,67"
328,GUY,Guyana,"47,93"
332,HTI,Haiti,"33,74"
340,HND,Honduras,"51,51"
348,HUN,Hungary,"65,01"
352,ISL,Iceland,"78,57"
356,IND,India,"30,57"
360,IDN,Indonesia,"46,92"
364,IRN,Iran,"58,16"
368,IRQ,Iraq,"43,2"
372,IRL,Ireland,"78,77"
376,ISR,Israel,"75,01"
380,ITA,Italy,"76,96"
388,JAM,Jamaica,"58,58"
392,JPN,Japan,"74,69"
400,JOR,Jordan,"62,2"
398,KAZ,Kazakhstan,"54,56"
404,KEN,Kenya,"47,25"
296,KIR,Kiribati,"55,26"
414,KWT,Kuwait,"62,28"
417,KGZ,Kyrgyzstan,"54,86"
418,LAO,Laos,"42,94"
428,LVA,Latvia,"66,12"
422,LBN,Lebanon,"61,08"
426,LSO,Lesotho,"33,78"
430,LBR,Liberia,"41,62"
434,LBY,Libya,"49,79"
440,LTU,Lithuania,"69,33"
442,LUX,Luxembourg,"79,12"
807,MKD,Macedonia,"61,06"
450,MDG,Madagascar,"33,73"
454,MWI,Malawi,"49,21"
458,MYS,Malaysia,"59,22"
462,MDV,Maldives,"52,14"
466,MLI,Mali,"43,71"
470,MLT,Malta,"80,9"
478,MRT,Mauritania,"39,24"
480,MUS,Mauritius,"56,63"
484,MEX,Mexico,"59,69"
583,FSM,Micronesia,"49,8"
498,MDA,Moldova,"51,97"
496,MNG,Mongolia,"57,51"
499,MNE,Montenegro,"61,33"
504,MAR,Morocco,"63,47"
508,MOZ,Mozambique,"46,37"
104,MMR,Myanmar,"45,32"
516,NAM,Namibia,"58,46"
524,NPL,Nepal,"31,44"
528,NLD,Netherlands,"75,46"
554,NZL,New Zealand,"75,96"
558,NIC,Nicaragua,"55,04"
562,NER,Niger,"35,74"
566,NGA,Nigeria,"54,76"
578,NOR,Norway,"77,49"
512,OMN,Oman,"51,32"
586,PAK,Pakistan,"37,5"
591,PAN,Panama,"62,71"
598,PNG,Papua New Guinea,"39,35"
600,PRY,Paraguay,"53,93"
604,PER,Peru,"61,92"
608,PHL,Philippines,"57,65"
616,POL,Poland,"64,11"
620,PRT,Portugal,"71,91"
634,QAT,Qatar,"67,8"
178,COG,Republic of Congo,"42,39"
642,ROU,Romania,"64,78"
643,RUS,Russia,"63,79"
646,RWA,Rwanda,"43,68"
662,LCA,Saint Lucia,"56,18"
670,VCT,Saint Vincent and the Grenadines,"66,48"
882,WSM,Samoa,"54,5"
678,STP,SÃƒÂ£o TomÃƒÂ© and PrÃƒÂ,"54,01"
682,SAU,Saudi Arabia,"57,47"
686,SEN,Senegal,"49,52"
688,SRB,Serbia,"57,49"
690,SYC,Seychelles,"66,02"
694,SLE,Sierra Leone,"42,54"
702,SGP,Singapore,"64,23"
703,SVK,Slovakia,"70,6"
705,SVN,Slovenia,"67,57"
