Country Name,Country Code,Indice de performance logistique : performance globale (1=faible et 5=élevée),2007,2010,2012,2014,2016,2018,2022,AVG
Aruba,ABW,,,,,,,,,#NUM!
,AFE,,"2,368095238","2,265","2,409473684","2,432728273","2,528828143","2,475","2,636363636","2,432728273"
Afghanistan,AFG,,"1,25","2,09","2,16","2,119709","2,145073","1,92",2,"2,09"
,AFW,,"2,282777778","2,301666667","2,435555556","2,38331555","2,302737895","2,316666667","2,52","2,316666667"
Angola,AGO,,"2,5","2,02",2,"2,311173","2,31063",2,"2,3","2,3"
Albanie,ALB,,2,"2,39","2,65",,"2,484833","2,56","2,3","2,4374165"
Andorre,AND,,,,,,,,,#NUM!
Le monde arabe,ARB,,"2,561578947","2,588947368","2,6165","2,5852812","2,6405305","2,566666667","2,75625","2,588947368"
Émirats arabes unis,ARE,,"3,67","3,53","3,74","3,497073","3,822432","3,92",4,"3,74"
Argentine,ARG,,3,"3,03","2,95","2,930554","2,825233","2,78","2,7","2,930554"
Arménie,ARM,,"2,11","2,59","2,4","2,75","2,206495","2,5","2,6","2,5"
Samoa américaines,ASM,,,,,,,,,#NUM!
Antigua-et-Barbuda,ATG,,,,,,,,"2,9","2,9"
Australie,AUS,,"3,76","3,77","3,75","3,748209","3,871699","3,71","3,9","3,76"
Autriche,AUT,,"4,13","3,7","4,1","3,558489","4,181863","4,08",4,"4,08"
Azerbaïdjan,AZE,,2,"2,48","2,14","2,142857",,,,"2,1414285"
Burundi,BDI,,"2,5",,"1,43","2,51","2,461408","2,33",,"2,461408"
Belgique,BEL,,"3,95","4,13","3,98","4,111112","4,070602","4,13","4,2","4,111112"
Bénin,BEN,,"2,56","2,64","2,9","2,351515","2,471603","2,5",3,"2,56"
Burkina Faso,BFA,,"2,33","2,02","2,28","2,633929","2,78154","2,46","2,4","2,4"
Bangladesh,BGD,,"2,33","2,44",,"2,636364","2,673939","2,48","2,7","2,558182"
Bulgarie,BGR,,"2,86","2,85","3,1",3,"3,057436","2,88","3,3",3
