Country Name,Country Code,PIB par habitant (unités de devises locales constantes)
Aruba,ABW,"47369,42592"
,AFE,
Afghanistan,AFG,"27467,79994"
,AFW,
Angola,AGO,"42842,50181"
Albanie,ALB,"577828,5683"
Andorre,AND,"32545,48675"
Le monde arabe,ARB,
Émirats arabes unis,ARE,"160738,6993"
Argentine,ARG,"15096,13529"
Arménie,ARM,"2021108,151"
Samoa américaines,ASM,"14077,93938"
Antigua-et-Barbuda,ATG,"43545,95093"
Australie,AUS,"87119,29558"
Autriche,AUT,"40544,29662"
Azerbaïdjan,AZE,"3030,78691"
Burundi,BDI,"146670,5084"
Belgique,BEL,"39002,37308"
Bénin,BEN,"717776,8734"
Burkina Faso,BFA,"438615,5933"
Bangladesh,BGD,"167336,2739"
Bulgarie,BGR,"15228,33275"
Bahreïn,BHR,"8685,221064"
Bahamas,BHS,"27665,00125"
Bosnie-Herzégovine,BIH,"10488,7667"
Bélarus,BLR,"13572,57149"
Belize,BLZ,"11532,22614"
Bermudes,BMU,"99344,55178"
Bolivie,BOL,"3948,861266"
Brésil,BRA,"19628,64608"
Barbade,BRB,"28624,36344"
Brunéi Darussalam,BRN,"42678,28719"
Bhoutan,BTN,"222733,811"
Botswana,BWA,"72520,42865"
République centrafricaine,CAF,"142576,5467"
Canada,CAN,"56726,46587"
Europe centrale et les pays baltes,CEB,
Suisse,CHE,"85190,30504"
Îles Anglo-Normandes,CHI,"48933,57487"
Chili,CHL,"10219168,83"
Chine,CHN,"77827,03421"
Côte d'Ivoire,CIV,"1368845,408"
Cameroun,CMR,"850172,4373"
"Congo, République démocratique du",COD,"142646,017"
"Congo, République du",COG,"761600,7112"
Colombie,COL,"17591294,23"
Comores,COM,"517517,7474"
Cabo Verde,CPV,"303203,4529"
Costa Rica,CRI,"7235902,877"
Petits états des Caraïbes,CSS,
Cuba,CUB,"4560,421422"
Curacao,CUW,"26891,07397"
Îles Caïmans,CYM,"66268,57724"
Chypre,CYP,"26515,35547"
République tchèque,CZE,"494078,5884"
Allemagne,DEU,"38665,63686"
Djibouti,DJI,"500127,9505"
Dominique,DMA,"15349,3896"
Danemark,DNK,"398330,0748"
République dominicaine,DOM,"247418,696"
Algérie,DZA,"515395,9573"
Asie de l’Est et Pacifique (hors revenu élevé),EAP,
de dividende précoce démographique,EAR,
Asie de l’Est et Pacifique,EAS,
Europe et Asie centrale (hors revenu élevé),ECA,
Europe et Asie centrale,ECS,
Équateur,ECU,"6028,67269"
"Égypte, République arabe d’",EGY,"67340,60127"
Zone euro,EMU,
Érythrée,ERI,
Espagne,ESP,"23786,65219"
Estonie,EST,"19400,12037"
Éthiopie,ETH,"18524,39378"
Union européenne,EUU,
Fragile et les situations de conflit touchées,FCS,
Finlande,FIN,"41608,96817"
Fidji,FJI,"9107,318221"
France,FRA,"34251,24175"
Îles Féroé,FRO,"362321,0876"
"Micronésie, États fédérés de",FSM,"2271,702716"
Gabon,GAB,"2445214,173"
Royaume-Uni,GBR,"30036,83742"
Géorgie,GEO,"13902,2437"
Ghana,GHA,"5317,574546"
Gibraltar,GIB,
Guinée,GIN,"5434176,294"
Gambie,GMB,"24773,56143"
