Country Name,Country Code,Indicator Name,2021 (person)
Aruba,ABW,"Population, total",106537
,AFE,"Population, total",702977106
Afghanistan,AFG,"Population, total",40099462
,AFW,"Population, total",478185907
Angola,AGO,"Population, total",34503774
Albanie,ALB,"Population, total",2811666
Andorre,AND,"Population, total",79034
Le monde arabe,ARB,"Population, total",456520777
Émirats arabes unis,ARE,"Population, total",9365145
Argentine,ARG,"Population, total",45808747
Arménie,ARM,"Population, total",2790974
Samoa américaines,ASM,"Population, total",45035
Antigua-et-Barbuda,ATG,"Population, total",93219
Australie,AUS,"Population, total",25685412
Autriche,AUT,"Population, total",8955797
Azerbaïdjan,AZE,"Population, total",10137750
Burundi,BDI,"Population, total",12551213
Belgique,BEL,"Population, total",11586195
Bénin,BEN,"Population, total",12996895
Burkina Faso,BFA,"Population, total",22100683
Bangladesh,BGD,"Population, total",169356251
Bulgarie,BGR,"Population, total",6877743
Bahreïn,BHR,"Population, total",1463265
Bahamas,BHS,"Population, total",407906
Bosnie-Herzégovine,BIH,"Population, total",3270943
Bélarus,BLR,"Population, total",9302585
Belize,BLZ,"Population, total",400031
Bermudes,BMU,"Population, total",63764
Bolivie,BOL,"Population, total",12079472
Brésil,BRA,"Population, total",214326223
Barbade,BRB,"Population, total",281200
Brunéi Darussalam,BRN,"Population, total",445373
Bhoutan,BTN,"Population, total",777486
Botswana,BWA,"Population, total",2588423
République centrafricaine,CAF,"Population, total",5457154
Canada,CAN,"Population, total",38239864
Europe centrale et les pays baltes,CEB,"Population, total",101413157
Suisse,CHE,"Population, total",8704546
Îles Anglo-Normandes,CHI,"Population, total",172683
Chili,CHL,"Population, total",19493184
Chine,CHN,"Population, total",1412360000
Côte d'Ivoire,CIV,"Population, total",27478249
Cameroun,CMR,"Population, total",27198628
"Congo, République démocratique du",COD,"Population, total",95894118
"Congo, République du",COG,"Population, total",5835806
Colombie,COL,"Population, total",51516562
Comores,COM,"Population, total",821625
Cabo Verde,CPV,"Population, total",587925
Costa Rica,CRI,"Population, total",5153957
Petits états des Caraïbes,CSS,"Population, total",3128519
Cuba,CUB,"Population, total",11256372
Curacao,CUW,"Population, total",152369
Îles Caïmans,CYM,"Population, total",68136
Chypre,CYP,"Population, total",1244188
République tchèque,CZE,"Population, total",10505772
Allemagne,DEU,"Population, total",83196078
Djibouti,DJI,"Population, total",1105557
Dominique,DMA,"Population, total",72412
Danemark,DNK,"Population, total",5856733
République dominicaine,DOM,"Population, total",11117873
Algérie,DZA,"Population, total",44177969
Asie de l’Est et Pacifique (hors revenu élevé),EAP,"Population, total",2123610397
de dividende précoce démographique,EAR,"Population, total",3411268373
Asie de l’Est et Pacifique,EAS,"Population, total",2370214403
Europe et Asie centrale (hors revenu élevé),ECA,"Population, total",250663105
Europe et Asie centrale,ECS,"Population, total",924168763
Équateur,ECU,"Population, total",17797737
"Égypte, République arabe d’",EGY,"Population, total",109262178
Zone euro,EMU,"Population, total",346942960
Érythrée,ERI,"Population, total",3620312
Espagne,ESP,"Population, total",47415794
Estonie,EST,"Population, total",1330932
Éthiopie,ETH,"Population, total",120283026
Union européenne,EUU,"Population, total",447178093
Fragile et les situations de conflit touchées,FCS,"Population, total",1001870564
Finlande,FIN,"Population, total",5541017
Fidji,FJI,"Population, total",924610
France,FRA,"Population, total",67764304
Îles Féroé,FRO,"Population, total",52889
"Micronésie, États fédérés de",FSM,"Population, total",113131
Gabon,GAB,"Population, total",2341179
Royaume-Uni,GBR,"Population, total",67026292
Géorgie,GEO,"Population, total",3708610
Ghana,GHA,"Population, total",32833031
Gibraltar,GIB,"Population, total",32669
Guinée,GIN,"Population, total",13531906
Gambie,GMB,"Population, total",2639916
Guinée-Bissau,GNB,"Population, total",2060721
Guinée équatoriale,GNQ,"Population, total",1634466
Grèce,GRC,"Population, total",10569207
Grenade,GRD,"Population, total",124610
Groenland,GRL,"Population, total",56653
Guatemala,GTM,"Population, total",17109746
Guam,GUM,"Population, total",170534
Guyana,GUY,"Population, total",804567
Revenu élevé,HIC,"Population, total",1392964458
"Chine, RAS de Hong Kong",HKG,"Population, total",7413100
Honduras,HND,"Population, total",10278345
Pays pauvres très endettés (PPTE),HPC,"Population, total",861156745
Croatie,HRV,"Population, total",3878981
Haïti,HTI,"Population, total",11447569
Hongrie,HUN,"Population, total",9709891
BIRD seulement,IBD,"Population, total",4894666421
BIRD et IDA,IBT,"Population, total",6696373761
IDA totale,IDA,"Population, total",1801707340
IDA mélange,IDB,"Population, total",596608333
Indonésie,IDN,"Population, total",273753191
IDA seulement,IDX,"Population, total",1205099007
Île de Man,IMN,"Population, total",84263
Inde,IND,"Population, total",1407563842
Non classifié,INX,"Population, total",
Irlande,IRL,"Population, total",5033164
"Iran, République islamique d’",IRN,"Population, total",87923432
Iraq,IRQ,"Population, total",43533592
Islande,ISL,"Population, total",372520
Israël,ISR,"Population, total",9371400
Italie,ITA,"Population, total",59133173
Jamaïque,JAM,"Population, total",2827695
Jordanie,JOR,"Population, total",11148278
Japon,JPN,"Population, total",125681593
Kazakhstan,KAZ,"Population, total",19191356
Kenya,KEN,"Population, total",53005614
République kirghize,KGZ,"Population, total",6773400
Cambodge,KHM,"Population, total",16589023
Kiribati,KIR,"Population, total",128874
Saint-Kitts-et-Nevis,KNA,"Population, total",47606
"Corée, République de",KOR,"Population, total",51769539
Koweït,KWT,"Population, total",4250114
Amérique latine et Caraïbes (hors revenu élevé),LAC,"Population, total",592503434
République démocratique populaire lao,LAO,"Population, total",7425057
Liban,LBN,"Population, total",5592631
Libéria,LBR,"Population, total",5193416
Libye,LBY,"Population, total",6735277
Sainte-Lucie,LCA,"Population, total",179651
Amérique latine et Caraïbes,LCN,"Population, total",654978670
Pays les moins avancés: classement de l’ONU,LDC,"Population, total",1098791080
Faible revenu,LIC,"Population, total",685250041
Liechtenstein,LIE,"Population, total",39039
Sri Lanka,LKA,"Population, total",22156000
"Revenu intermédiaire, tranche inférieure",LMC,"Population, total",2983113040
Revenu faible et intermédiaire,LMY,"Population, total",6467799496
Lesotho,LSO,"Population, total",2281454
de dividende tardif démographique,LTE,"Population, total",2323185156
Lituanie,LTU,"Population, total",2800839
Luxembourg,LUX,"Population, total",640064
