num_pays,code_pays,pays,Dispo_proteine_g_personne_jour,person_2021,Taux_change_unit_devises_local_par_$US_Moy_period,Stabilité_Politique,PIB_par_habitant,lpi_AVG_2007_2022,Inflation_prix_à_la consommation_%_annuel,Governance_Performance,"Cost of animal source foods valeur 
(PPP dollar per person per day)",Corruption_Value,mediane_epi,Quantité_production_poulet_kg_par_pers
710,ZAF,Afrique du Sud,34.6,59392255.0,14.77867821,-0.75,75987.07811,3.58,4.611672178,-0.07,1.1,-0.03,43.1,32.15907528683664
8,ALB,Albanie,25.1,2811666.0,103.52,0.2,577828.5683,2.44,2.041471631,-0.04,1.2,-0.58,49.0,4.712508526972976
12,DZA,Algérie,8.6,44177969.0,135.0640583,-0.99,515395.9573,2.33,7.226063074,-0.65,1.3,-0.64,44.8,6.191325816720999
276,DEU,Allemagne,32.4,83196078.0,17.300494354999998,0.73,38665.63686,4.19,3.066666667,1.29,0.7,1.78,77.2,12.981381165588118
20,AND,Andorre,25.15,79034.0,0.8453765644,0.18,32545.48675,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,756.3833286939798
24,AGO,Angola,9.0,34503774.0,631.4419555,-0.71,42842.50181,2.21,25.75429488,-1.13,1.1,-0.65,30.5,1.6051780306699204
660,AIA,Anguilla,25.15,6085450.0,17.300494354999998,1.53,57721.568784999996,2.64,3.475403203,0.92,1.0,0.64,45.599999999999994,9.823431299246563
10,ATA,Antarctique,25.15,6085450.0,17.300494354999998,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,9.823431299246563
28,ATG,Antigua-et-Barbuda,38.7,93219.0,2.7,0.95,43545.95093,2.66,2.062996385,-0.19,0.7,0.23,52.4,0.3604415408875873
682,SAU,Arabie saoudite,25.3,35950396.0,3.75,-0.59,90448.01237,3.07,3.063289889,0.47,1.0,0.28,44.0,25.86897791056321
32,ARG,Argentine,53.7,45808747.0,94.99074167,0.0,15096.13529,2.89,3.475403203,-0.39,1.0,-0.42,52.2,50.07998581580937
51,ARM,Arménie,28.0,2790974.0,503.769675,-0.8,2021108.151,2.45,7.184836294,-0.28,1.0,0.05,52.3,5.231148695759975
533,ABW,Aruba,25.15,106537.0,1.79,1.43,47369.42592,2.64,3.475403203,1.08,0.8,0.8,45.599999999999994,561.1196110271549
36,AUS,Australie,48.2,25685412.0,1.33122426,0.84,87119.29558,3.79,2.863910422,1.47,0.5,1.71,74.12,50.310269502393034
40,AUT,Autriche,33.4,8955797.0,17.300494354999998,0.9,40544.29662,3.96,2.766666667,1.53,0.6,1.24,78.97,14.447625376055308
31,AZE,Azerbaïdjan,18.2,10137750.0,1.7,-0.84,3030.78691,2.4,6.650299127,0.21,1.0,-0.85,46.5,12.269783729131218
44,BHS,Bahamas,48.9,407906.0,1.0,0.85,27665.00125,2.62,2.904912629,0.42,1.0,1.15,54.99,15.047584492505626
48,BHR,Bahreïn,39.0,1463265.0,0.376,-0.52,8685.221064,3.09,-0.6063193851,0.68,1.2,0.14,51.0,5.646277331857182
50,BGD,Bangladesh,2.2,169356251.0,85.08376325,-1.04,167336.2739,2.56,5.545654308,-0.66,1.4,-0.99,29.0,1.2744637338482416
52,BRB,Barbade,37.5,281200.0,2.0,1.12,28624.36344,2.64,3.475403203,0.5,1.0,1.21,53.2,46.88122332859175
56,BEL,Belgique,31.3,11586195.0,17.300494354999998,0.66,39002.37308,4.08,2.440248511,1.09,0.5,1.46,73.3,38.641676581483395
84,BLZ,Belize,23.9,400031.0,2.0,0.27,11532.22614,2.64,3.235636592,-0.53,0.7,-0.33,50.0,47.96378280683247
60,BMU,Bermudes,25.15,63764.0,1.0,1.0,99344.55178,2.64,3.475403203,1.47,0.6,1.28,45.599999999999994,937.5196035380466
